label,is_not_disease,is_pathogen,is_promed_label,parent_label,not_human_disease,is_category,wiki_link,synonym,Non-HM disease label,comments
Other Animal Disease,TRUE,,,,TRUE,TRUE,NF,,,
Other Human Disease,TRUE,,,,,TRUE,NF,,,
Other Plant Disease,TRUE,,,,TRUE,TRUE,NF,,,
Otitis media,,,,,,,http://en.wikipedia.org/wiki/Otitis_media,,,
P. aeruginosa,,TRUE,,,,,http://en.wikipedia.org/wiki/Pseudomonas_aeruginosa,Pseudomonas aeruginosa,,
Pappataci fever,,,,,,,http://en.wikipedia.org/wiki/Pappataci_fever,"sandfly fever, phlebotomus fever",TRUE,
Paracoccidioidomycosis,,,,,,,http://en.wikipedia.org/wiki/Paracoccidioidomycosis,"Brazilian blastomycosis, South American blastomycosis, Lutz-Splendore-de Almeida disease, Paracoccidioidal granuloma",,
Paragonimus,,,,,,,http://en.wikipedia.org/wiki/Paragonimus,,,
Paralytic Shellfish Poisoning,,,,,,,http://en.wikipedia.org/wiki/Paralytic_shellfish_poisoning,,,
Parotitis,,,,,,,http://en.wikipedia.org/wiki/Parotitis,,,
Parvovirus,,TRUE,,,,,http://en.wikipedia.org/wiki/Parvovirus,,,
Pasteurellosis,,,,,,,http://en.wikipedia.org/wiki/Pasteurellosis,,,
Pelvic Inflammatory Disease,,,,,,,http://en.wikipedia.org/wiki/Pelvic_inflammatory_disease,PID,,
Peste des petits ruminants,,,,,TRUE,,http://en.wikipedia.org/wiki/Ovine_rinderpest,Ovine rinderpest,,
Pests,TRUE,,,,TRUE,,NAP,,,
Pinworm,,TRUE,,,,,http://en.wikipedia.org/wiki/Pinworm,"threadworm, seatworm",,
Plague,,,,yersiniosis,,,http://en.wikipedia.org/wiki/Plague_(disease),,,
Pneumococcal Pneumonia,,,,Pneumonia,,,http://en.wikipedia.org/wiki/Pneumococcal_pneumonia,,,
Pneumonia,,,,,,,http://en.wikipedia.org/wiki/Pneumonia,,,
Pogosta disease,,,,,,,http://en.wikipedia.org/wiki/Pogosta_disease,"Ockelbo disease, Karelian fever",TRUE,
Poisoning,TRUE,,,,,,http://en.wikipedia.org/wiki/Poison,,,NAP
Polio,,,,,,,http://en.wikipedia.org/wiki/Poliomyelitis,poliomyelitis,,
Porcine Circovirus,,TRUE,,,TRUE,,http://en.wikipedia.org/wiki/Porcine_circovirus,,,PCV
Powassan virus,,TRUE,,,,,http://en.wikipedia.org/wiki/Powassan_virus,,,
Proteus mirabilis,,TRUE,,,,,http://en.wikipedia.org/wiki/Proteus_mirabilis,,,
"Protozoa, miscellaneous",,TRUE,,,,,http://en.wikipedia.org/wiki/Protozoa,,,
Psittacosis,,,,,,,http://en.wikipedia.org/wiki/Psittacosis,"parrot fever, ornithosis",,
Q Fever,,,,Fever,,,http://en.wikipedia.org/wiki/Q_fever,,,
Rabies,,,,,,,http://en.wikipedia.org/wiki/Rabies,,,
Ralstonia Solanacearum,,,TRUE,,,,,,,
Rash,TRUE,,,,,,http://en.wikipedia.org/wiki/Rash,,,
Red Blotch,,,TRUE,Blotch,,,,,,
Relapsing Fever,,,,Fever,,,http://en.wikipedia.org/wiki/Relapsing_fever,,,
Respiratory Illness,,,,,,,http://en.wikipedia.org/wiki/Respiratory_disease,,,
Respiratory Syncytial Virus,,TRUE,,,,,http://en.wikipedia.org/wiki/Human_respiratory_syncytial_virus,,,
Rheumatic Fever,,,,Fever,,,http://en.wikipedia.org/wiki/Rheumatic_fever,,,
Rickettsia,,TRUE,,,,,http://en.wikipedia.org/wiki/Rickettsia,,,
Rift Valley Fever,,,,Fever,,,http://en.wikipedia.org/wiki/Rift_Valley_fever,RVF,,
Ringworm,,,,,,,http://en.wikipedia.org/wiki/Dermatophytosis,,,
River Blindness,,,,,,,http://en.wikipedia.org/wiki/Onchocerciasis,"onchocerciasis, robles disease",,
Rocky Mountain Spotted Fever,,,,Fever,,,http://en.wikipedia.org/wiki/Rocky_Mountain_spotted_fever,,,
Roseola,,,,,,,http://en.wikipedia.org/wiki/Exanthema_subitum,"roseloa infantum, sixth disease, baby measles, three-day fever",,
Ross River Virus,,TRUE,,,,,http://en.wikipedia.org/wiki/Ross_River_virus,,,
Rotavirus,,TRUE,,Gastroenteritis,,,http://en.wikipedia.org/wiki/Rotavirus,,,
Rubella,,TRUE,,,,,http://en.wikipedia.org/wiki/Rubella,"three-day measles, German measles",,
Salmonella,,TRUE,,Foodborne Illness,,,http://en.wikipedia.org/wiki/Salmonella,,,
Sapovirus,,TRUE,,Gastroenteritis,,,http://en.wikipedia.org/wiki/Sapovirus,,TRUE,an underappreciated cause of norovirus-negative gastroenteritis 
SARS,,,,Coronavirus,,,http://en.wikipedia.org/wiki/Severe_acute_respiratory_syndrome,Severe Acute Respiratory Syndrome,,
Scabies,,,,,,,http://en.wikipedia.org/wiki/Scabies,seven-year itch,,
Scarlet Fever,,,,Fever,,,http://en.wikipedia.org/wiki/Scarlet_fever,,,
